NBA Players - Floater Statistics
--------------------------------------------------------------------------------
                  Player  Floaters Attempted  Floaters Made  Floaters Attempted Per Game  Floaters Made Per Game
         Zion Williamson                   9              7                         0.69                    0.54
          Darius Garland                  18             14                         0.39                    0.30
           Kawhi Leonard                   5              3                         0.50                    0.30
               Ty Jerome                  20             13                         0.44                    0.29
           Miles Bridges                  19              9                         0.59                    0.28
             Bruce Brown                  11              4                         0.73                    0.27
      Isaiah Hartenstein                  13              7                         0.48                    0.26
       Jaren Jackson Jr.                  20             11                         0.43                    0.24
            Tyrese Maxey                  18              9                         0.45                    0.23
             CJ McCollum                  19              8                         0.53                    0.22
              Trae Young                  19             10                         0.42                    0.22
          Keyonte George                  14              8                         0.38                    0.22
            Franz Wagner                  11              6                         0.37                    0.20
            Nikola Jokić                  13              8                         0.30                    0.19
          Nikola Vučević                  11              9                         0.23                    0.19
           Austin Reaves                  16              8                         0.38                    0.19
            LeBron James                  13              8                         0.30                    0.18
         Cade Cunningham                  21              8                         0.48                    0.18
            James Harden                  15              8                         0.33                    0.18
 Shai Gilgeous-Alexander                  11              8                         0.24                    0.17
        Donovan Mitchell                  14              8                         0.30                    0.17
           Dyson Daniels                  18              7                         0.41                    0.16
            Jamal Murray                   9              7                         0.21                    0.16
           Julius Randle                  11              7                         0.23                    0.15
         Christian Braun                  10              7                         0.21                    0.15
         Kelly Oubre Jr.                  10              6                         0.23                    0.14
         Khris Middleton                   4              3                         0.18                    0.14
           Anthony Davis                   9              6                         0.21                    0.14
           Marcus Sasser                   5              5                         0.14                    0.14
         Trendon Watford                   4              2                         0.27                    0.13
            Kyrie Irving                  13              5                         0.33                    0.13
          Rob Dillingham                   6              3                         0.25                    0.12
              KJ Simpson                   6              2                         0.38                    0.12
              Luka Garza                   3              2                         0.18                    0.12
              Malik Monk                   7              5                         0.17                    0.12
           Jalen Brunson                  13              6                         0.27                    0.12
         Trey Murphy III                   6              4                         0.18                    0.12
             Tyler Herro                   7              5                         0.15                    0.11
        Tristan Vukcevic                   2              1                         0.22                    0.11
            Luke Kennard                   5              4                         0.14                    0.11
          Brandon Clarke                   9              5                         0.20                    0.11
        Precious Achiuwa                   3              3                         0.11                    0.11
          Reggie Jackson                   7              3                         0.25                    0.11
           Collin Sexton                  12              5                         0.27                    0.11
          Keaton Wallace                   3              2                         0.14                    0.10
           Norman Powell                  12              4                         0.30                    0.10
              Kyle Kuzma                   5              3                         0.16                    0.10
          Andrew Wiggins                   6              4                         0.14                    0.10
       Immanuel Quickley                   1              1                         0.10                    0.10
          Isaiah Collier                  10              4                         0.26                    0.10
       Victor Wembanyama                   9              4                         0.23                    0.10
              Tyus Jones                  11              4                         0.23                    0.09
              Joe Ingles                   1              1                         0.09                    0.09
           Derrick White                   5              4                         0.11                    0.09
         Anfernee Simons                  10              4                         0.22                    0.09
            Steven Adams                   6              3                         0.18                    0.09
         De'Andre Hunter                   7              3                         0.20                    0.09
            Jakob Poeltl                  12              4                         0.28                    0.09
            Terry Rozier                   8              4                         0.19                    0.09
                 Bol Bol                   1              1                         0.08                    0.08
           Aaron Nesmith                   1              1                         0.08                    0.08
             Jaden Hardy                   5              3                         0.13                    0.08
        Patrick Williams                   5              3                         0.13                    0.08
         Kyle Filipowski                   4              3                         0.11                    0.08
            Nikola Jović                   5              3                         0.13                    0.08
        Brice Sensabaugh                   5              3                         0.14                    0.08
         Jordan Clarkson                   5              2                         0.20                    0.08
              Damion Lee                   1              1                         0.08                    0.08
            Jaylon Tyson                   2              2                         0.07                    0.07
          Jalen Williams                   9              3                         0.20                    0.07
           Jae'Sean Tate                   3              2                         0.10                    0.07
      Guerschon Yabusele                   5              3                         0.11                    0.07
       Justin Champagnie                   2              2                         0.07                    0.07
             Deni Avdija                   4              3                         0.09                    0.07
             Josh Giddey                   6              3                         0.13                    0.07
       Haywood Highsmith                   4              3                         0.09                    0.07
